,filename,genre,relative_dir_png,relative_dir_wav
0,jazz.00033.wav,pop,genres/pop/pop.00027.png,genres/pop/pop.00027.wav
1,jazz.00033.wav,pop,genres/pop/pop.00033.png,genres/pop/pop.00033.wav
2,jazz.00033.wav,pop,genres/pop/pop.00032.png,genres/pop/pop.00032.wav
3,jazz.00033.wav,pop,genres/pop/pop.00026.png,genres/pop/pop.00026.wav
4,jazz.00033.wav,pop,genres/pop/pop.00030.png,genres/pop/pop.00030.wav
5,jazz.00033.wav,pop,genres/pop/pop.00024.png,genres/pop/pop.00024.wav
6,jazz.00033.wav,pop,genres/pop/pop.00018.png,genres/pop/pop.00018.wav
7,jazz.00033.wav,pop,genres/pop/pop.00019.png,genres/pop/pop.00019.wav
8,jazz.00033.wav,pop,genres/pop/pop.00025.png,genres/pop/pop.00025.wav
9,jazz.00033.wav,pop,genres/pop/pop.00031.png,genres/pop/pop.00031.wav
10,jazz.00033.wav,pop,genres/pop/pop.00009.png,genres/pop/pop.00009.wav
11,jazz.00033.wav,pop,genres/pop/pop.00035.png,genres/pop/pop.00035.wav
12,jazz.00033.wav,pop,genres/pop/pop.00021.png,genres/pop/pop.00021.wav
13,jazz.00033.wav,pop,genres/pop/pop.00020.png,genres/pop/pop.00020.wav
14,jazz.00033.wav,pop,genres/pop/pop.00034.png,genres/pop/pop.00034.wav
15,jazz.00033.wav,pop,genres/pop/pop.00008.png,genres/pop/pop.00008.wav
16,jazz.00033.wav,pop,genres/pop/pop.00022.png,genres/pop/pop.00022.wav
17,jazz.00033.wav,pop,genres/pop/pop.00036.png,genres/pop/pop.00036.wav
18,jazz.00033.wav,pop,genres/pop/pop.00037.png,genres/pop/pop.00037.wav
19,jazz.00033.wav,pop,genres/pop/pop.00023.png,genres/pop/pop.00023.wav
20,jazz.00033.wav,pop,genres/pop/pop.00044.png,genres/pop/pop.00044.wav
21,jazz.00033.wav,pop,genres/pop/pop.00050.png,genres/pop/pop.00050.wav
22,jazz.00033.wav,pop,genres/pop/pop.00078.png,genres/pop/pop.00078.wav
23,jazz.00033.wav,pop,genres/pop/pop.00087.png,genres/pop/pop.00087.wav
24,jazz.00033.wav,pop,genres/pop/pop.00093.png,genres/pop/pop.00093.wav
25,jazz.00033.wav,pop,genres/pop/pop.00092.png,genres/pop/pop.00092.wav
26,jazz.00033.wav,pop,genres/pop/pop.00086.png,genres/pop/pop.00086.wav
27,jazz.00033.wav,pop,genres/pop/pop.00079.png,genres/pop/pop.00079.wav
